2025-01-10 13:52:23.7720 Info Application Start
2025-01-10 13:52:25.3208 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 13:53:47.0253 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:06:02.0512 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:14:47.2395 Info Application Start
2025-01-10 14:14:47.5613 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:32:28.2050 Info Application Start
2025-01-10 14:32:29.4689 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:41:56.2442 Info Application Start
2025-01-10 14:41:57.5877 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 15:35:49.5100 Info Application Start
2025-01-10 15:43:26.5506 Info Application Start
2025-01-10 15:44:40.2034 Info Application Start
2025-01-10 15:48:01.1287 Info Application Start
2025-01-10 16:50:15.1335 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:15.1335 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:23.7899 Trace Executing Controller: MainUser, Action: GetCreateUserView
2025-01-10 16:50:23.7899 Trace Executed Controller: MainUser, Action: GetCreateUserView
2025-01-10 16:50:23.7899 Trace Executing Controller: MainUser, Action: GetCreateUserView
2025-01-10 16:50:23.8050 Trace Executed Controller: MainUser, Action: GetCreateUserView
2025-01-10 16:50:36.0792 Trace Executing Controller: MainUser, Action: CreateUser
2025-01-10 16:50:36.0792 Trace CreateUser
2025-01-10 16:50:36.0792 Trace Executed Controller: MainUser, Action: CreateUser
2025-01-10 16:50:39.5579 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:50:39.5579 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:50:39.5740 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:50:39.5740 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:50:39.6228 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:39.6228 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:40.8059 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:40.8059 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:41.2144 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:41.2144 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:43.3268 Trace Executing Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:50:43.3268 Trace Executed Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:50:47.7100 Trace Executing Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:50:47.7130 Trace Executed Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:50:56.9530 Trace Executing Controller: MainUser, Action: EditUserRoleAndStatus
2025-01-10 16:50:57.0028 Trace Executed Controller: MainUser, Action: EditUserRoleAndStatus
2025-01-10 16:50:57.0128 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:50:57.0128 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:50:57.0617 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:57.0617 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:57.9259 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:57.9259 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:51:03.8788 Trace Executing Controller: MainUser, Action: GetRoleIdAndName
